,PLAYER NAME,TEAM NAME,PLAYER POSITION,2019 CAR,2019 RUSH YDS,2019 RUSH AVG,2019 RUSH TD,2019 REC,2019 REC YDS,2019 REC TDS,2019 FPTS,2020 CAR,2020 RUSH YARDS,2020 RUSH AVG,2020 RUSH TD,2020 REC,2020 REC YDS,2020 REC TD,2020 FPTS,Player OUTLOOK
1,Christian McCaffrey,Panthers,RB,287,1387,4.8,15,116,1005,4,471.2,233,1048,4.5,9,90,736,3,333.95,"McCaffrey returns as the feature back in Carolina after a dominant 2019 campaign, when he outscored the next-closest RB by 156 fantasy points. Seriously. McCaffrey was on the field for an astronomical 93% of the offensive snaps, which was just above his 92% mark in 2018. He set a career high with an 80% carry share (17.9 per game) and has now handled 23% of the targets (8.8/G) in three consecutive seasons. McCaffrey paced the position in snaps, touches, yards, touchdowns, OTD, targets, receptions and carries inside the 5. It's possible McCaffrey will play a bit less in new coach Matt Rhule's offense, but the 24-year-old can afford a reduced role and still dominate the position in fantasy. He should be the first player off the board in your draft."
2,Ezekiel Elliott,Cowboys,RB,301,1357,4.5,12,54,420,2,311.7,282,1244,4.4,10,57,455,2,300.76,"Elliott returns as the clear feature back in Dallas. Since entering the league in 2016, the Ohio State product leads the NFL in carries (1,169) and rushing yards (5,405), and sits second in rushing touchdowns (40). Elliott obviously plays a substantial role as a ball carrier -- and his goal-line work increased last season -- but it was a bit surprising to see his targets fall from 6.3 to 4.4 per game last season. Of course, Elliott's role still allowed him a top-3 finish in touches, yards and fantasy points. The 25-year-old is positioned for a similar role in 2020 behind a strong offensive line and should be off the board in the middle of the first round of drafts."
3,Saquon Barkley,Giants,RB,217,1003,4.6,6,52,438,2,244.1,261,1176,4.5,10,57,458,3,292.33,"Barkley's 2019 season fell short of lofty expectations, but the 2018 second-overall pick finished strongly and remains an elite fantasy asset. Barkley, who missed three games because of injury, was on the field for 84% of New York's snaps -- about the same as his rookie season (83%) -- when active. His 16.7 carries per game were up slightly from 2018 (16.3), though his targets inexplicably fell from 7.4 to 5.5 per game. Barkley still managed the third-most fantasy points among RBs during his 12 full weeks. We shouldn't count on a big rebound in targets with Jason Garrett running the offense, but Barkley does figure to see more run at the goal line (only seven carries inside the 5 last season). Only Christian McCaffrey is a clear superior fantasy asset to 23-year-old Barkley."
4,Dalvin Cook,Vikings,RB,250,1135,4.5,13,53,519,0,292.4,245,1051,4.3,10,64,536,1,291.72,"Cook's career has thus far been marred by injuries, but we saw a glimpse of his ceiling during a breakout 2019 campaign. Through Week 14, Cook led the league in rushing touchdowns and trailed only Christian McCaffrey in fantasy points. Cook missed two games and chunks of others but still finished no lower than ninth among backs in carries, receptions, touches, scrimmage yards and touchdowns. Cook's 15 carries inside the 5 were third most in the league, and he scored at least one touchdown in 11 of 14 games. Cook has now missed 19 games because of injury in three seasons, but there's no doubt the 24-year-old is positioned well as run-heavy Minnesota's primary back. He's a strong RB1 despite the durability concerns."
5,Alvin Kamara,Saints,RB,171,797,4.7,5,81,533,1,248.52,194,876,4.5,8,78,600,3,290.39,"Kamara is coming off an up-and-down 2019 campaign, but the 24-year-old remains the main man in the New Orleans' backfield. Kamara missed a pair of games but otherwise played a similar role to 2018, handling 12.2 carries and 7.0 targets per game. Kamara ended the season with a YPC above 4.5 and exactly 81 catches for the third consecutive season. A lack of usage near the goal line (7.1 OTD, 6 TDs) limited his fantasy production, though he did finish strongly with four of those scores coming during Weeks 16-17. Kamara should have little trouble pushing for 20 touches per game in the Saints' Drew Brees-led, high-scoring offense. He remains a solid RB1."
6,Kenyan Drake,Cardinals,RB,170,817,4.8,8,50,345,0,214.2,210,979,4.7,9,53,399,2,253.23,"Drake received the transition tag from the Cardinals during the offseason and will return as the team's clear feature back. Traded from Miami to Arizona at the 2019 trade deadline, Drake went on to play 381 (79%) of 483 possible snaps during his eight games with the team. He handled 66% of the team's carries (15.4 per game) and 14% of the targets (4.4) during that span. That heavy usage allowed him the fourth-most fantasy points among RBs during that span. Arizona's offense should only improve in Kliff Kingsbury and Kyler Murray's second season, so Drake, who sports an impressive 4.8 career YPC, is very much in the RB1 discussion."
7,Derrick Henry,Titans,RB,303,1540,5.1,16,18,206,2,294.6,288,1308,4.5,12,26,212,1,250.7,"Henry returns as the feature back in Tennessee after pacing the NFL in carries (303), rushing yards (1,540) and rushing touchdowns (16) in 2019. Henry has been an absolute force as a rusher, ranking no lower than third in YAC each of the past three seasons. His heavy recent workload is a concern, but the good news is that he's 25 years old and had not cleared 215 carries in a season prior to 2019. Henry's minimal workload as a receiver (career-high 18 receptions last season) will continue to limit his fantasy output, so coupled with a probable dip in rushing production, he should be valued as a back-end RB1."
8,Aaron Jones,Packers,RB,236,1084,4.6,16,49,474,3,314.8,206,914,4.4,11,44,366,2,249.23,"It's fair to say Jones was finally 'freed' in 2019. Green Bay's lead back set career-high marks in nearly every category, exploding for 1,558 yards (seventh most among RBs) and a league-high 19 touchdowns from scrimmage. Jones posted more duds than you'd expect from a top fantasy back (five weekly finishes outside the top 30), but still managed the second-most points at the position. Jones is a near lock for major touchdown regression this season, as his 19 TDs were nearly double his 10.8 OTD. Still, his strong efficiency and role as lead back in the Packers' offense is enough to allow the 25-year-old Jones solid RB1 numbers."
9,Miles Sanders,Eagles,RB,179,818,4.6,3,50,509,3,218.7,243,1061,4.4,7,43,359,2,238.78,"It took a while for him to get rolling, but Sanders certainly took command of lead-back duties in Philadelphia during the second half of his rookie season. Sanders put down a solid 179-818-3 rushing line, but where he truly stood out was as a receiver. Sanders' 50-509-3 line was fueled by 8.2 yards per target, which was second best at the position. Sanders didn't play more than 53% of the snaps in a game until Week 11, but he finished 15th among backs in fantasy points. The 23-year-old is primed for a larger share of the workload behind the Eagles' elite offensive line in 2020. Consider him a strong RB2 with upside for more."
10,Austin Ekeler,Chargers,RB,132,557,4.2,3,92,993,8,309,163,715,4.4,4,64,606,3,237.62,"Ekeler received a contract extension, and former running mate Melvin Gordon is now in Denver, which locks in the former as the Chargers' lead back in 2020. Ekeler took his game to a new level last season, especially as a receiver, ranking no lower than second among backs in targets, receptions, yards and touchdowns. Despite Gordon playing a substantial role in 12 games, Ekeler was fantasy's No. 4 scoring back. Ekeler's small frame will limit his carries and goal-line work (he's never cleared 132 carries or three rushing touchdowns in a season), and he's unlikely to repeat a 91-992-8 receiving line with Tyrod Taylor and Justin Herbert under center. Expect a step back for Ekeler, though his role can still allow borderline RB1 production in PPR."
